Ryomen Sukuna;Special;null;Wrath;True;Malevolent Shrine;Severing and Slicing
Jogo;First;Ryomen Sukuna;Greed;True;Coffin of the Iron Mountain;Volcanic Innate
Rika;Special;null;Lust;False;null;Copy
Dagon;Second;Toji Fushiguro;Sloth;True;Horizon Of The Captivating Skandha;Disaster Tides
Mahito;Third;Yuji Itadori;Greed;True;Self-Embodiment of Perfection;Idle Transfiguration
Hanami;Fourth;Gojo Satoru;Pride;False;null;Plant Manifestation
Choso;Special;Ryomen Sukuna;Despair;False;null;Blood Manipulation
Tengen;First;Suguru Geto;Gluttony;False;null;Musical Score
Smallpox Deity;Fourth;Kugisaki Nobara;Pride;False;null;Inner Focus
Naoya Zen'in;Third;Maki;Lust;False;null;Enhanced Control
