Yuji Itadori;Special;15;Male;Black Flash;5000;True;Simple Domain
Megumi Fushiguro;First;17;Male;Ten Shadows;4500;True;Chimera Shadow Garden
Nobara Kugisaki;First;18;Female;Straw Doll;2300;False;null
Toji Fushiguro;Special;30;Male;Heavenly Restriction;0;False;null
Suguru Geto;Special;27;Male;Cursed Spirit Manipulation;7000;False;null
Gojo Satoru;Special;28;Male;Limitless;987654321;True;Unlimited Void
Kinji Hakari;First;25;Male;Instant Gamble;123456789;True;Idle Death Gamble
Uraume;Special;1000;Female;Ice Formation;11111;False;null
Yuta Okkotsu;Special;16;Male;Copy;0;True;Authentic Mutual Love
Mei Mei;Second;34;Female;Black Bird Manipulation;0;False;null
